Date,TV_Spend,Digital_Spend,Social_Media_Spend,Print_Spend,Discount_Applied,Sales,Units_Sold,Campaign_Type,Product_Type,Region
2024-10-03,26154,67919,11382,19325,15,204833.4,5164,Seasonal Sale,Cat Toys,West
2024-06-09,18004,42454,32654,8124,5,155170.19999999998,4582,Brand Awareness,Cat Toys,North
2024-11-09,19752,53762,23895,6753,5,175191.3,4136,New Product Launch,Dog Food,East
2024-01-22,65426,38600,38551,18147,20,262013.90000000002,5003,Brand Awareness,Dog Toys,North
2024-09-09,36819,44238,26376,6612,20,185103.40000000002,5982,New Product Launch,Cat Toys,West
2024-08-23,34217,40241,5370,8275,15,163985.0,5634,Discount Offer,Cat Food,East
2024-12-10,42994,34810,5486,13747,20,168841.90000000002,6997,Brand Awareness,Cat Food,North
2024-02-18,25036,35167,28762,17443,15,172933.2,4686,Seasonal Sale,Dog Toys,North
2024-02-28,59416,36811,31613,7049,10,230532.0,6214,Brand Awareness,Cat Food,North
2024-06-18,19587,54779,8196,18668,15,171136.5,5433,Discount Offer,Dog Food,East
2024-07-06,10645,35085,34401,5824,20,134777.09999999998,5792,Discount Offer,Cat Toys,North
2024-09-27,40930,61854,15813,18880,20,230358.6,4909,New Product Launch,Cat Toys,South
2024-07-08,40090,24261,13572,16041,15,156280.0,5759,Discount Offer,Cat Toys,West
2024-06-23,62142,33733,33225,8030,5,231965.5,6034,New Product Launch,Cat Toys,East
2024-02-20,36475,54779,37275,6081,15,213955.6,6927,Discount Offer,Cat Food,South
2024-12-29,28888,44079,11843,16517,15,176060.80000000002,4841,New Product Launch,Cat Food,North
2024-02-24,53732,48980,6105,10299,5,208665.9,6112,Seasonal Sale,Cat Food,West
2024-08-31,56305,29141,36639,5492,10,223783.5,5604,New Product Launch,Dog Food,North
2024-11-15,56037,24344,23051,9764,5,194430.6,6480,New Product Launch,Cat Food,South
2024-05-10,19346,54472,33708,12202,20,187075.80000000002,5337,Seasonal Sale,Cat Food,North
2024-11-02,10587,30896,16864,13266,5,120370.40000000001,4114,New Product Launch,Cat Toys,East
2024-05-14,22763,38817,39764,16183,20,189095.59999999998,4568,New Product Launch,Cat Food,South
2024-01-21,69165,44813,6425,8360,20,240667.5,5553,Seasonal Sale,Dog Toys,East
2024-11-24,79615,33895,11849,13562,15,249478.5,6689,Discount Offer,Dog Toys,West
2024-06-15,46116,15143,23976,9682,15,164954.90000000002,4494,Brand Awareness,Cat Toys,East
2024-09-30,35556,25681,39258,5328,10,169592.9,6988,New Product Launch,Cat Food,East
2024-03-29,69042,22367,36113,17877,20,247502.80000000002,4821,Discount Offer,Dog Toys,North
2024-11-11,28099,18228,20401,14982,15,138759.4,6249,Brand Awareness,Dog Toys,North
2024-01-14,55096,19582,17884,13968,20,182334.59999999998,6696,Seasonal Sale,Dog Food,South
2024-08-29,23230,28147,23824,15214,10,147224.7,5608,New Product Launch,Cat Toys,West
2024-09-21,39009,26397,39414,19639,20,193410.19999999998,4559,New Product Launch,Dog Toys,South
2024-12-11,43866,53799,21142,9674,10,215193.3,5041,Seasonal Sale,Dog Toys,West
2024-02-22,51855,52011,10956,9316,10,224281.30000000002,6525,New Product Launch,Cat Toys,West
2024-12-05,16416,28647,18928,14379,10,124483.0,6535,Brand Awareness,Cat Food,East
2024-04-01,65915,42718,14721,14695,15,236433.7,6826,Brand Awareness,Cat Toys,North
2024-09-20,28058,59264,16157,19710,5,205544.4,5469,Seasonal Sale,Dog Food,West
2024-02-04,50718,57317,11696,16483,5,235584.0,4339,New Product Launch,Dog Food,North
2024-07-24,42602,62914,32862,10803,15,247449.69999999998,5554,Discount Offer,Dog Food,West
2024-03-21,68067,34097,10190,8325,20,224345.0,4611,New Product Launch,Dog Toys,North
2024-02-19,37516,51953,9663,19033,15,204192.40000000002,6163,Seasonal Sale,Cat Food,South
2024-12-25,11089,60254,9331,13379,20,149358.1,5881,Discount Offer,Dog Food,North
2024-01-02,47346,55096,33549,6214,10,231095.19999999998,4073,Brand Awareness,Cat Toys,East
2024-02-23,20487,68785,21246,12556,15,201269.30000000002,6163,Brand Awareness,Dog Food,West
2024-04-15,10155,67344,30761,16478,5,191127.0,5709,Discount Offer,Dog Toys,East
2024-09-16,77494,64452,8262,16638,20,294807.2,5761,Discount Offer,Dog Food,West
2024-11-05,48547,32107,12036,14301,15,189379.80000000002,5692,Seasonal Sale,Cat Food,East
2024-07-09,38795,69846,27322,15713,15,247778.7,6034,New Product Launch,Dog Food,West
2024-08-05,65296,18010,24131,18131,20,221051.30000000002,5245,Brand Awareness,Cat Food,North
2024-02-13,31447,20555,9677,17071,10,140785.0,4125,New Product Launch,Cat Food,West
2024-06-10,46598,15067,12972,13722,10,160917.1,4656,Brand Awareness,Cat Toys,East
2024-07-20,51814,43412,20329,14262,10,215614.0,5199,New Product Launch,Cat Food,East
2024-09-26,73278,59953,25493,8136,10,293167.69999999995,5996,Brand Awareness,Dog Toys,West
2024-12-16,65077,66658,23595,14154,20,284972.4,6711,New Product Launch,Dog Toys,West
2024-10-30,19528,49305,26923,11618,5,177598.9,4990,Seasonal Sale,Cat Food,South
2024-09-27,60100,64549,14735,10265,15,253604.0,4858,Brand Awareness,Cat Food,South
2024-08-02,18179,26549,39457,12089,15,150417.8,5521,Seasonal Sale,Dog Food,North
2024-09-08,58781,20680,12727,12965,10,185745.9,6132,Brand Awareness,Dog Food,North
2024-07-08,65267,40739,12764,14597,20,238654.0,5899,Brand Awareness,Cat Toys,North
2024-10-22,33952,36209,32599,16329,5,191958.19999999998,5406,Brand Awareness,Dog Food,North
2024-07-31,63798,56515,5818,13708,5,249289.9,4632,New Product Launch,Dog Toys,North
2024-07-26,60939,37432,38892,16356,15,247926.0,5664,Brand Awareness,Dog Food,West
2024-08-24,39516,30116,10660,19176,10,166627.6,5486,Seasonal Sale,Cat Toys,South
2024-12-03,66526,35045,34521,11569,15,258661.6,6498,New Product Launch,Cat Toys,West
2024-02-22,20449,41327,39470,6491,15,166253.6,6565,New Product Launch,Cat Food,South
2024-10-06,60290,50709,23385,10213,5,252234.8,6893,Brand Awareness,Cat Toys,South
2024-08-04,32746,58617,28296,16881,20,220279.80000000002,4694,Discount Offer,Cat Food,East
2024-09-08,77990,41905,28616,9228,5,278076.5,6597,New Product Launch,Dog Toys,East
2024-07-06,68810,22067,31382,12508,15,239067.69999999998,4928,Brand Awareness,Dog Toys,South
2024-02-10,25223,47559,16139,9409,10,166850.19999999998,4115,Seasonal Sale,Dog Food,West
2024-06-05,12597,69243,37060,5590,10,198261.5,5031,Discount Offer,Cat Toys,South
2024-01-15,75677,57919,27419,12379,20,301395.2,5241,New Product Launch,Dog Toys,North
2024-10-27,12659,32985,32785,14735,20,143837.0,5742,Discount Offer,Cat Food,West
2024-03-05,25037,42369,20702,8056,20,164221.5,5613,New Product Launch,Cat Toys,West
2024-12-10,56738,32864,34217,7206,15,229004.0,5903,Discount Offer,Cat Toys,South
2024-11-22,22109,37614,17397,16531,15,152598.5,6451,Discount Offer,Cat Food,North
2024-01-09,32010,67428,31940,7708,20,224113.8,4303,Seasonal Sale,Cat Toys,South
2024-12-09,18787,62894,33341,10981,10,194864.30000000002,5490,Discount Offer,Cat Toys,North
2024-05-08,18472,30613,15067,17221,10,137938.0,5975,Seasonal Sale,Dog Toys,West
2024-05-15,33383,21447,18824,10722,10,138567.5,6787,Brand Awareness,Cat Food,South
2024-03-03,71709,20499,18444,5747,15,218381.0,4087,New Product Launch,Dog Toys,North
2024-05-18,79785,54041,38307,18785,5,324584.4,5033,Seasonal Sale,Cat Food,East
2024-03-21,44518,46315,15974,13992,10,202391.5,4307,New Product Launch,Dog Food,West
2024-06-11,63909,16299,34290,11553,10,223994.8,6481,Seasonal Sale,Cat Toys,West
2024-10-15,28351,69970,21016,6497,10,206123.90000000002,4801,New Product Launch,Cat Toys,East
2024-09-17,79624,54469,37112,6379,20,300362.80000000005,4163,Seasonal Sale,Dog Toys,North
2024-08-18,63330,19994,33513,13871,15,217847.7,4995,New Product Launch,Cat Toys,West
2024-02-10,25282,44878,7956,12360,20,160943.2,6703,Brand Awareness,Cat Toys,North
2024-01-28,31778,30627,13077,8770,20,140404.9,5358,New Product Launch,Dog Toys,East
2024-05-14,34264,22489,39938,8342,5,172774.30000000002,6065,Brand Awareness,Dog Toys,South
2024-07-19,69675,41111,23000,19449,20,264596.4,5094,Brand Awareness,Cat Food,West
2024-11-23,15075,47355,18806,14088,5,147080.5,5198,Brand Awareness,Dog Food,West
2024-09-24,58454,23269,17809,6546,20,193310.9,5877,Discount Offer,Dog Toys,North
2024-02-02,38365,17831,19855,8126,10,147912.1,5823,New Product Launch,Cat Food,West
2024-02-17,58200,59370,34388,10889,15,265820.5,4810,Discount Offer,Dog Toys,South
2024-03-02,21002,66873,11458,11208,20,187320.9,6386,Discount Offer,Cat Food,East
2024-08-03,23947,26819,11853,13875,5,135031.6,6295,New Product Launch,Dog Food,West
2024-10-19,62142,65684,37222,6295,15,283400.9,5348,Brand Awareness,Cat Food,East
2024-04-08,66307,39813,23320,18973,5,260596.8,6353,Discount Offer,Cat Food,North
2024-06-20,14493,36637,33618,6385,10,148847.6,5803,Discount Offer,Cat Toys,South
2024-12-25,60085,16996,22352,19481,20,202004.5,6251,Seasonal Sale,Dog Toys,West
2024-08-01,44228,69463,12297,5942,15,233185.1,6900,New Product Launch,Cat Food,East
2024-02-04,61875,59387,32940,8280,10,273631.5,5593,Discount Offer,Dog Toys,South
2024-08-14,41655,64429,8203,18597,20,222463.80000000002,6494,New Product Launch,Cat Food,East
2024-04-10,53472,18089,22273,6033,20,172490.4,6760,New Product Launch,Cat Toys,North
2024-05-10,59437,48291,30368,7786,5,241830.7,4432,Discount Offer,Cat Toys,South
2024-09-13,59416,35659,16650,7233,5,216239.8,5647,New Product Launch,Dog Food,South
2024-01-05,69711,60178,35984,16837,10,307360.5,5151,Brand Awareness,Cat Food,North
2024-08-05,16816,69517,12382,6620,5,175857.9,4821,Discount Offer,Cat Toys,North
2024-09-11,74307,45429,5801,8535,10,248136.2,5070,Discount Offer,Dog Toys,West
2024-12-24,56733,30732,24733,8205,10,207940.1,4504,Discount Offer,Cat Food,North
2024-10-09,21240,34506,14969,7882,10,133621.0,4114,Seasonal Sale,Cat Food,North
2024-07-25,42762,55935,21733,18096,5,221576.7,5439,Seasonal Sale,Dog Food,East
2024-01-15,18259,20190,37449,5170,15,135618.8,5790,Seasonal Sale,Dog Toys,South
2024-12-11,60139,19575,31143,19548,10,223955.90000000002,4994,Seasonal Sale,Dog Food,East
2024-02-11,24849,55495,30705,13140,15,203782.5,4222,Discount Offer,Cat Food,North
2024-06-27,64869,63146,33363,14745,20,286126.1,4635,Brand Awareness,Dog Food,West
2024-03-03,73095,49565,35720,8897,5,288648.2,5972,New Product Launch,Cat Food,East
2024-12-17,33567,49899,14972,14787,5,182318.6,4671,New Product Launch,Cat Food,East
2024-08-18,45292,38706,38351,14815,15,220818.7,4957,Discount Offer,Dog Food,South
2024-08-28,61631,62668,27412,9122,20,278042.6,4932,Brand Awareness,Dog Food,South
2024-02-21,19885,37884,29078,10109,20,150965.5,4095,New Product Launch,Cat Food,South
2024-04-05,69659,32199,27580,14283,10,243839.8,6154,Brand Awareness,Dog Food,West
2024-08-09,64306,59100,19855,7837,5,260319.7,4631,Discount Offer,Dog Food,West
2024-08-18,76314,54434,24569,13599,20,293846.7,5701,Seasonal Sale,Cat Food,North
2024-08-24,75087,64294,30738,10228,20,305216.39999999997,5949,Brand Awareness,Dog Toys,North
2024-05-22,39165,27479,11772,9169,10,157155.8,4697,New Product Launch,Dog Food,South
2024-06-19,68929,49178,29874,11721,10,272558.9,4031,New Product Launch,Dog Food,East
2024-01-29,77028,27665,24731,5679,15,242149.6,6113,New Product Launch,Cat Toys,South
2024-02-05,59812,15534,15131,12429,5,188014.1,5202,Seasonal Sale,Dog Toys,North
2024-01-13,60500,41292,5788,10487,20,215126.30000000002,4778,Brand Awareness,Dog Food,East
2024-06-08,68643,51132,21184,18136,15,267917.4,5466,Brand Awareness,Cat Food,North
2024-11-22,54900,65184,35897,18157,5,282008.1,4915,New Product Launch,Cat Toys,West
2024-07-05,52946,51110,7889,5236,15,215431.4,4548,Brand Awareness,Cat Toys,South
2024-08-30,17851,37469,14569,15966,5,141606.90000000002,6248,New Product Launch,Cat Toys,South
2024-03-26,26288,61233,26657,16629,5,213047.8,5893,Brand Awareness,Dog Food,East
2024-10-10,77580,52268,15141,16549,20,289145.10000000003,6096,Seasonal Sale,Cat Food,South
2024-03-06,17368,16172,24656,19713,5,125109.5,6834,Seasonal Sale,Cat Toys,North
2024-06-18,56403,42914,26618,11804,10,236001.0,6998,Discount Offer,Dog Toys,North
2024-02-14,19168,35901,16934,16069,20,145001.2,5703,Discount Offer,Cat Toys,West
2024-03-02,59879,55775,28286,18193,10,269209.0,6310,Discount Offer,Cat Toys,North
2024-05-13,69871,49409,12612,7423,15,246907.19999999998,5156,Brand Awareness,Dog Toys,East
2024-10-10,42174,64623,37069,17906,15,258584.9,6030,Seasonal Sale,Cat Toys,North
2024-01-28,16581,34324,21205,19988,5,140865.8,5833,Seasonal Sale,Cat Toys,West
2024-04-17,74046,23738,32331,16339,5,255006.1,4343,Seasonal Sale,Dog Toys,West
2024-02-13,59678,52494,18934,6032,10,240988.0,5199,New Product Launch,Dog Food,South
2024-12-05,36649,59557,15095,11339,10,210198.4,6058,Brand Awareness,Dog Toys,East
2024-10-12,24567,39054,30958,16046,10,176242.2,6248,Brand Awareness,Dog Food,North
2024-11-26,71944,44709,23706,7940,15,261678.7,4944,Discount Offer,Dog Food,West
2024-05-07,38803,58785,36472,16893,10,244866.2,4925,New Product Launch,Dog Food,North
2024-12-13,28230,35107,39629,10409,20,178148.19999999998,6050,New Product Launch,Dog Toys,West
2024-08-18,27862,15363,28004,17262,20,137343.5,6855,Seasonal Sale,Dog Toys,South
2024-07-08,53355,25358,25431,8132,15,203514.40000000002,5330,Discount Offer,Dog Food,West
2024-08-12,41259,51077,39502,12080,10,239263.9,6003,Brand Awareness,Dog Toys,South
2024-10-09,40795,64697,36385,16652,10,246959.7,6607,New Product Launch,Dog Food,East
2024-04-30,18770,18240,9663,9942,5,98122.8,5787,Seasonal Sale,Dog Toys,North
2024-04-25,21093,21665,17818,11961,20,120224.20000000001,6246,Brand Awareness,Cat Food,North
2024-08-20,56571,60689,27686,15115,15,270226.2,5939,Seasonal Sale,Dog Toys,South
2024-09-15,10193,16936,28977,12730,10,100091.4,6156,Brand Awareness,Dog Toys,East
2024-12-24,27569,61736,23454,19899,5,209422.69999999998,6155,Seasonal Sale,Dog Toys,South
2024-07-16,21190,40538,18358,5633,15,143664.9,6599,Brand Awareness,Dog Food,West
2024-05-16,72824,58965,11668,11822,15,267031.30000000005,4051,Discount Offer,Dog Food,South
2024-11-13,52752,26998,14921,18305,20,199989.7,6159,Brand Awareness,Cat Food,East
2024-06-13,42327,15882,39959,9103,10,173723.09999999998,4294,Brand Awareness,Cat Food,West
2024-08-12,52070,35224,37328,14584,15,224758.0,6112,Brand Awareness,Cat Toys,North
2024-11-02,50197,54691,13859,18356,5,236371.9,6621,Seasonal Sale,Cat Food,North
2024-08-21,12261,68763,28970,11487,5,193640.2,4464,New Product Launch,Dog Food,North
2024-06-20,36512,61476,13872,19068,15,218592.2,6305,Brand Awareness,Cat Food,East
2024-05-31,16716,45825,24230,8446,5,155644.1,5669,Brand Awareness,Cat Food,East
2024-11-10,38933,20204,31708,10738,15,166393.4,4633,Discount Offer,Dog Toys,East
2024-06-08,14378,43885,23847,8098,5,146892.69999999998,5354,Brand Awareness,Cat Food,East
2024-04-05,50583,55056,32105,18504,15,255742.4,5524,Discount Offer,Cat Toys,East
2024-08-20,39033,18203,9922,13097,15,139608.6,4209,Brand Awareness,Dog Toys,West
2024-06-28,34000,17244,9392,18136,15,133711.0,6136,Seasonal Sale,Dog Food,South
2024-04-22,52604,47786,18541,10476,5,221128.80000000002,6075,New Product Launch,Cat Toys,North
2024-11-13,78336,64793,24551,13253,15,304124.0,4237,New Product Launch,Dog Food,East
2024-02-21,15410,18083,24381,10181,20,113551.8,4335,New Product Launch,Cat Toys,North
2024-09-24,66044,36584,27948,15661,15,249838.7,6110,Seasonal Sale,Dog Toys,East
2024-10-21,73315,23521,31728,6817,10,241640.80000000002,5576,Discount Offer,Cat Toys,North
2024-04-22,16796,65017,7024,13824,10,173003.69999999998,4499,New Product Launch,Cat Toys,South
2024-04-10,64245,48541,21713,9887,20,248224.80000000002,5564,Seasonal Sale,Cat Food,North
2024-04-22,53056,44063,7486,7598,15,208193.5,4790,Seasonal Sale,Dog Food,North
2024-03-21,27709,19732,6155,16643,10,127579.3,6639,Brand Awareness,Dog Toys,East
2024-07-05,68557,67670,15082,14492,15,290162.6,5135,Discount Offer,Cat Toys,West
2024-04-22,27543,42518,23569,7653,10,169378.09999999998,6348,Seasonal Sale,Dog Food,West
2024-01-02,47418,54563,12086,6454,5,215923.1,4228,Discount Offer,Dog Food,North
2024-05-09,26724,54752,7317,6138,5,160895.19999999998,4149,New Product Launch,Cat Food,West
2024-08-07,13828,44697,9491,10807,20,129796.4,5778,New Product Launch,Dog Food,South
2024-02-23,27087,17567,20916,8192,20,124360.9,5624,New Product Launch,Dog Toys,South
2024-12-08,22605,31121,20248,17812,15,143154.30000000002,6574,Brand Awareness,Cat Food,West
2024-08-11,41337,16674,7511,11116,20,145065.8,4332,Brand Awareness,Cat Toys,West
2024-08-12,15482,25875,29226,18186,15,133151.3,4173,Discount Offer,Dog Toys,South
2024-05-05,75333,59340,30025,15402,5,307008.2,5366,Discount Offer,Dog Toys,West
2024-05-09,60952,15739,12848,18074,5,192262.5,6108,Brand Awareness,Dog Toys,West
2024-02-22,15463,16545,19274,8759,10,106448.20000000001,5084,Seasonal Sale,Cat Food,East
2024-06-20,14648,44140,35958,8029,15,167107.5,4818,Discount Offer,Dog Food,East
2024-08-05,43623,24327,21304,14552,5,178891.5,5701,Discount Offer,Dog Toys,West
2024-06-08,69156,20127,16294,15618,5,214044.09999999998,6571,New Product Launch,Dog Food,West
2024-07-16,45634,38331,31425,17460,15,213087.5,6263,Discount Offer,Dog Food,East
2024-09-03,54602,38004,8175,10095,10,196988.5,5612,Discount Offer,Dog Toys,East
2024-11-19,59334,56833,32775,19098,10,282339.3,4623,Seasonal Sale,Dog Food,West
2024-07-21,78648,68707,14425,5063,10,293262.8,4577,Discount Offer,Cat Food,East
2024-07-02,32054,25492,31013,6345,10,165799.1,6741,Seasonal Sale,Cat Food,South
2024-05-02,32207,69797,32928,5974,5,224454.5,4422,New Product Launch,Cat Toys,North
2024-09-11,31386,28749,13210,9161,15,141652.6,6763,Brand Awareness,Dog Food,South
2024-10-20,69518,38508,7759,10962,15,231939.0,5394,New Product Launch,Dog Food,East
2024-10-06,62781,24045,21091,16820,5,219452.7,5229,Seasonal Sale,Cat Toys,South
2024-11-20,62780,35116,5002,14814,5,214970.8,4753,Seasonal Sale,Cat Food,North
2024-04-07,71440,33667,35160,13649,5,263901.4,4746,Discount Offer,Cat Toys,East
2024-07-16,54199,24521,25707,18890,20,216065.9,4687,Discount Offer,Cat Toys,South
2024-08-27,71035,23669,20248,11596,15,232257.7,4722,Brand Awareness,Cat Toys,South
2024-05-23,18210,42302,10773,8330,15,128837.6,5566,Seasonal Sale,Dog Food,North
2024-04-06,54363,26283,17786,19245,15,204378.2,4746,Seasonal Sale,Dog Food,East
2024-07-19,70348,45935,20037,6740,10,249179.9,4241,New Product Launch,Dog Food,West
2024-05-03,65284,21998,6885,18737,5,201661.7,6712,Brand Awareness,Dog Food,East
2024-07-05,78847,43806,21331,16218,5,277094.0,4707,New Product Launch,Dog Toys,North
2024-11-21,32432,46624,27495,11055,5,199946.5,4434,Discount Offer,Cat Toys,North
2024-12-14,74089,28440,18450,11321,20,233629.1,4780,Discount Offer,Cat Toys,North
2024-09-15,65398,60465,14491,6954,15,262509.1,4483,New Product Launch,Dog Food,North
2024-05-27,13321,61501,14268,5279,5,153904.0,6431,Discount Offer,Cat Food,West
2024-09-08,47383,36797,32757,7391,20,212710.0,5533,New Product Launch,Dog Toys,East
2024-12-11,62893,16269,11791,14232,5,199601.90000000002,4169,Seasonal Sale,Dog Toys,East
2024-05-26,45820,22868,33314,11439,10,184711.69999999998,5020,Seasonal Sale,Cat Food,South
2024-05-27,76262,45251,33583,19537,15,296408.8,6997,Discount Offer,Dog Food,West
2024-12-17,13760,27373,26550,5961,20,117400.6,4868,Brand Awareness,Dog Toys,West
2024-07-17,32190,33987,5093,11827,5,143598.80000000002,6370,Seasonal Sale,Dog Toys,South
2024-11-03,77411,53729,14967,19230,15,291981.9,4847,Discount Offer,Cat Toys,South
2024-05-07,33377,30734,21218,17037,20,167486.30000000002,5497,Brand Awareness,Cat Toys,East
2024-02-08,56737,57429,13627,6217,15,241596.6,4695,Discount Offer,Dog Food,East
2024-12-03,79569,56337,9947,16412,15,287322.1,6406,New Product Launch,Dog Food,East
2024-12-25,48211,55325,28178,13566,10,245866.7,4031,Discount Offer,Cat Toys,West
2024-05-08,13744,33064,33876,11007,15,145839.9,4176,New Product Launch,Cat Toys,West
2024-09-23,34995,23433,27908,9130,20,168241.1,6964,Seasonal Sale,Cat Toys,South
2024-05-30,26977,63421,24971,6392,15,204205.90000000002,6112,Seasonal Sale,Cat Food,North
2024-10-24,44542,24111,37584,7076,20,193019.9,6074,Discount Offer,Dog Toys,North
2024-04-08,20651,53450,13959,13966,15,163348.4,5502,Brand Awareness,Dog Food,North
2024-09-19,26715,63247,33261,9316,5,211643.30000000002,6315,Discount Offer,Dog Food,North
2024-09-08,54409,30047,20835,11196,10,205122.1,6644,Discount Offer,Cat Food,North
2024-05-23,34306,23084,24257,16616,5,155999.0,4065,Seasonal Sale,Cat Toys,East
2024-12-11,29086,36751,8346,15315,10,152573.2,4132,Seasonal Sale,Dog Toys,South
2024-04-21,24376,31453,35807,9589,20,158845.8,5928,Discount Offer,Cat Toys,North
2024-02-29,71350,35308,35418,18999,10,274706.5,4915,Seasonal Sale,Dog Food,North
2024-01-02,46636,53968,16340,16785,15,221154.5,6129,New Product Launch,Cat Food,North
2024-10-30,61649,45077,38012,13142,15,257670.1,5916,Discount Offer,Dog Toys,East
2024-09-10,44610,58046,14597,11260,5,224186.4,5854,Seasonal Sale,Dog Toys,North
2024-05-19,20058,49775,30557,13471,10,176277.0,5351,Discount Offer,Dog Toys,South
2024-02-06,74200,63570,12737,12897,20,292582.1,4584,Seasonal Sale,Dog Toys,East
2024-06-08,56619,61097,22276,9841,20,247695.80000000002,6374,New Product Launch,Cat Food,East
2024-01-09,27154,39503,12310,16003,15,163623.8,6589,New Product Launch,Dog Food,West
2024-08-20,29539,17779,24344,15534,20,140646.7,5148,Discount Offer,Dog Toys,West
2024-04-08,70058,36304,15391,12161,15,231468.30000000002,6257,New Product Launch,Dog Toys,East
2024-05-26,72068,15755,15892,14666,15,214561.5,5748,New Product Launch,Dog Food,North
2024-10-30,40373,54263,16197,15049,15,210567.8,6180,Seasonal Sale,Cat Toys,North
2024-07-26,43154,57955,18050,18829,5,221206.4,6204,Discount Offer,Dog Toys,North
2024-05-10,16031,57281,18535,18384,5,178552.9,5892,Seasonal Sale,Dog Toys,North
2024-05-31,32785,66482,10122,16081,15,204859.5,6922,Seasonal Sale,Cat Toys,West
2024-02-23,38669,69857,14852,6059,15,215483.8,6429,Brand Awareness,Dog Food,South
2024-04-29,12282,32400,10387,6922,15,109870.59999999999,4973,New Product Launch,Dog Food,East
2024-06-09,44624,55115,36759,16991,20,248985.4,6642,Seasonal Sale,Dog Toys,North
2024-04-25,58438,29249,39878,11101,15,231562.2,5442,Seasonal Sale,Dog Food,West
2024-03-15,77534,62647,38725,9592,15,316296.7,6519,Seasonal Sale,Cat Toys,South
2024-04-22,41705,61825,12146,11349,10,209682.6,4233,New Product Launch,Cat Food,East
2024-04-13,48244,59825,5560,7473,10,210987.8,6619,New Product Launch,Cat Toys,East
2024-12-05,47437,39600,6312,13108,10,189299.19999999998,5477,New Product Launch,Cat Toys,East
2024-09-10,60583,52706,23205,17331,10,255155.1,5593,Discount Offer,Cat Food,North
2024-08-14,48392,34222,16595,13096,15,193502.6,4770,Seasonal Sale,Cat Toys,East
2024-04-21,17461,48505,27030,15043,10,169715.8,6348,New Product Launch,Dog Toys,North
2024-04-08,20516,53968,26329,16733,20,186841.09999999998,4305,Seasonal Sale,Dog Toys,South
2024-06-01,27514,56139,7651,11748,20,179024.5,4001,Discount Offer,Dog Food,West
2024-12-14,46268,64383,15006,9549,10,233543.6,4270,Brand Awareness,Dog Food,West
2024-12-31,46788,66069,26966,5594,5,245779.1,4420,Discount Offer,Cat Toys,West
2024-12-03,71049,56302,32846,10452,20,290529.4,6747,New Product Launch,Dog Toys,East
2024-07-12,72493,44148,26774,5506,20,266482.4,4863,New Product Launch,Dog Toys,West
2024-11-05,46027,37302,9083,9889,10,188192.5,5876,Discount Offer,Cat Food,South
2024-06-11,52849,17623,38513,12637,10,205415.80000000002,5009,Seasonal Sale,Dog Food,North
2024-07-26,27858,23646,13749,13212,15,140033.0,6926,New Product Launch,Dog Toys,West
2024-06-17,62395,28543,35783,6399,20,227363.0,6739,New Product Launch,Cat Toys,North
2024-06-09,49758,43960,22325,8201,10,210312.1,6914,Discount Offer,Dog Toys,North
2024-03-08,64312,37785,23680,12854,10,243708.9,5060,Seasonal Sale,Dog Food,West
2024-10-15,78670,27817,22323,11763,15,246025.4,4106,Discount Offer,Cat Toys,West
